26.9,31,23.8
28.9,35.9,23
30.2,35.9,25
31.5,37.9,25.7
31,36.6,26.9
29.7,34.1,27
30.1,35,26.6
29.2,35.2,25.4
28.3,32.9,26
29.8,34.6,26.5
28.9,34,25
30,35.6,25.5
28,32.1,25.3
28.7,32.3,26.4
29,32.5,26.1
28.7,32,26.1
30.1,35.3,25.9
30.2,35.8,26.6
30.2,36,26.3
30.7,35.6,26.1
30.1,34.3,26
28.2,32.2,26.3
29.4,33.9,26.7
29.8,34,26.1
30.1,35.3,25.9
29,33.3,25.8
27.5,31.9,24.1
29.8,35.5,25.2
29.8,36.3,25.1
29.8,35.1,25.7
30,35,26.9
